English,Hindi,Original
After the first rain of the winter people took out their quilts.,"सर्दियों की पहली बारिश के बाद, उन्होंने अपने कपड़े निकाल लिए।",सर्दी की पहली बारिश होने पर लोगों ने रजाई भी निकाल ली है।
People were seen enjoying the sunshine in the morning.,लोग सुबह को धूप का आनंद लेते हुए देख रहे थे।,सुबह में लोग धूप का आनंद लेते भी नजर आए।
Once the climate changes there will be relief from colds and other illnesses but after that the clouds kept playing hide and seek with the sun.,एक बार जब जलवायु परिवर्तन को ठंड और अन्य बीमारियों से राहत मिलेगी लेकिन उसके बाद बादल गायब हो जाते हैं और सूर्य के साथ खोज करते हैं।,"मौसम बदलते ही जुकाम आदि बीमारी से भी काफी राहत मिलेगी, लेकिन उसके बाद दिनभर बादल छाए रहने से धूप छांव का सिलसिला जारी रहा।"
The children also went to school wearing sweaters.,बच्चे कपड़े पहने स्कूल भी गए।,बच्चे भी स्वेटर पहन कर अपने स्कूल पहुंचे।
According to the air force weather department the maximum temperatures on Thursday was 25.1 degree Celsius and the minimum temperatures was 13.7 degree Celsius.,"वायु बलीय मौसम विभाग के अनुसार, गुरुवार पर अधिकतम तापमान 251 डिग्री सेल्सियस था और न्यूनतम तापमान 137 डिग्री से कम था।","वहीं, एयरफोर्स मौसम विभाग के मुताबिक वीरवार को अधिकतम तापमान 25.1 डिग्री सेल्सियस व न्यूनतम तापमान 13.7 डिग्री सेल्सियस रहा।"
7.8 millimetres of rainfall was recorded.,"7.80,000 बारिश दर्ज की गई थी।",जबकि 7.8 मिलीमीटर बारिश दर्ज की गई।
According to the weather department the skies will be cloudy.,मौसम विभाग के अनुसार आकाश बादलों से भर जाएगा।,मौसम विभाग के अनुसार आगे भी आसमान पर बादल छाए रहेंगे।
Jet makers feud over seat width with big orders at stake,बैठने की चौड़ाई के ऊपर यक्षक यंत्रों के साथ स्तंभ पर बड़े आदेशों के साथ संघर्ष करते हैं,सीट चौड़ाई के लिए विवाद से जेट निर्माताओं के बड़े ऑर्डर्स दांव पर ।
"A row has flared up between leading plane makers over the width of tourist-class seats on long-distance flights, setting the tone for a bitter confrontation at this month's Dubai Airshow.",लंबी दूरी की दिशा में पर्यटक-क्लिपियों की चौड़ाई के ऊपर एक पंक्ति ने इस महीने के दुबई वायु को प्रदर्शित करने के लिए ताल को स्थापित किया है।,इस महीने के दुबई ऐर्शो के लिए झगड़े  के लिए लय स्थापित करते हुए एक होड़ लग गयी है लंबी दूरी की उड़ानों  के लिए पर्यटक-क्लास की सीटों की चौड़ाई के लिए अग्रणी विमान निर्माताओं के बीच
"The dispute focuses on the width of seats provided on long-haul flights for economy passengers - not always the ones most courted by airlines, but whose allocated space holds the key to efficiency claims for the latest jets offered by Airbus SAS and Boeing Co.","इस विवाद में अर्थव्यवस्था यात्रियों के लिए लंबे-हुल विमानों पर प्रदान सीटों की चौड़ाई पर ध्यान केंद्रित किया गया है - वे हमेशा विमानों द्वारा सबसे अधिक दरबारी नहीं होते हैं, लेकिन जिन विधा अंतरिक्ष में विमानों द्वारा प्रदान किए गए नवीनतम जेटों के लिए कुशल दावा करने की कुंजी होती है।","विवाद लंबी उड़ानों के विमानो  मे ईकॉनोमी क्लास की सीट की चौड़ाई पर केंद्रित है, हमेशा जैसे एरलाइन्स द्वारा दिए जाने जैसे नही परंतु जिसकी आबंटित स्थान दक्षता को लेटेस्ट जेट  एरबस SAS और बोईन्ग कंपनी ने कुंजी होने का दावा किया है ।."
